Customer,Occuspace
Date Range,05/01/2023 - 05/01/2024
Hour Range,6 - 23
Days of the Week,Sun - Sat
Time Interval,30min

Location,Timestamp,Date,Day of Week,Week of Year,Time,Hour of Day,Average Occupancy,Average Utilization,Peak Occupancy,Peak Utilization,Capacity,Location Path
Lower Exercise Room,05/13/2023 6:00,5/13/2023,7,19,6:00:00 AM,6,2,0.02,3,0.04,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 6:30,5/13/2023,7,19,6:30:00 AM,6,2,0.02,3,0.04,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 7:00,5/13/2023,7,19,7:00:00 AM,7,2,0.02,3,0.04,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 7:30,5/13/2023,7,19,7:30:00 AM,7,3,0.04,3,0.04,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 8:00,5/13/2023,7,19,8:00:00 AM,8,10,0.12,15,0.18,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 8:30,5/13/2023,7,19,8:30:00 AM,8,23,0.27,29,0.34,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 9:00,5/13/2023,7,19,9:00:00 AM,9,31,0.36,41,0.48,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 9:30,5/13/2023,7,19,9:30:00 AM,9,37,0.44,41,0.48,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 10:00,5/13/2023,7,19,10:00:00 AM,10,34,0.40,39,0.46,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 10:30,5/13/2023,7,19,10:30:00 AM,10,35,0.41,41,0.48,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 11:00,5/13/2023,7,19,11:00:00 AM,11,43,0.51,46,0.54,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 11:30,5/13/2023,7,19,11:30:00 AM,11,40,0.47,44,0.52,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 12:00,5/13/2023,7,19,12:00:00 PM,12,42,0.49,51,0.60,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 12:30,5/13/2023,7,19,12:30:00 PM,12,41,0.48,50,0.59,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 13:00,5/13/2023,7,19,1:00:00 PM,13,36,0.42,48,0.56,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 13:30,5/13/2023,7,19,1:30:00 PM,13,29,0.34,37,0.44,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 14:00,5/13/2023,7,19,2:00:00 PM,14,31,0.36,36,0.42,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 14:30,5/13/2023,7,19,2:30:00 PM,14,36,0.42,39,0.46,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 15:00,5/13/2023,7,19,3:00:00 PM,15,31,0.36,39,0.46,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 15:30,5/13/2023,7,19,3:30:00 PM,15,31,0.36,35,0.41,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
