academic_year,term,classes_begin,last_day_classes,finals_begin,finals_end
2022-23,Spring,2023-04-03,2023-06-09,2023-06-12,2023-06-16
2023-24,Fall,2023-09-21,2023-12-08,2023-12-11,2023-12-15
2023-24,Winter,2024-01-08,2024-03-15,2024-03-18,2024-03-22
2023-24,Spring,2024-04-02,2024-06-07,2024-06-10,2024-06-14
2024-25,Fall,2024-09-23,2024-12-06,2024-12-09,2024-12-13
2024-25,Winter,2025-01-06,2025-03-14,2025-03-17,2025-03-21
2024-25,Spring,2025-04-01,2025-06-06,2025-06-09,2025-06-13
2025-26,Fall,2025-09-18,2025-12-05,2025-12-08,2025-12-12
2025-26,Winter,2026-01-05,2026-03-13,2026-03-16,2026-03-20
2025-26,Spring,2026-03-30,2026-06-05,2026-06-08,2026-06-12
