Location,Timestamp,Date,Day of Week,Week of Year,Time,Hour of Day,Average Occupancy,Average Utilization,Peak Occupancy,Peak Utilization,Capacity,Location Path,export_period,source_file,academic_year,term,term_phase,instruction_week,is_imputed,imputation_method,lag_1,lag_2,lag_48,lag_336,roll_mean_4,roll_mean_36,hour_sin,hour_cos,dow_sin,dow_cos,pred_occupancy,typical_occupancy,residual_vs_typical
Rec Center,2025-11-24 20:30:00,2025-11-24,2,47,8:30:00 PM,20,4.0,0.02,4,0.02,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,4.0,19.0,3.0,193.0,19.25,26.24137931034483,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,6.814631315244719,218.5,-211.68536868475528
Rec Center,2025-11-24 20:00:00,2025-11-24,2,47,8:00:00 PM,20,4.0,0.02,8,0.04,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,19.0,28.0,4.0,199.0,26.0,27.035714285714285,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,12.01554943532515,218.5,-206.48445056467486
Rec Center,2025-11-24 18:30:00,2025-11-24,2,47,6:30:00 PM,18,26.0,0.12,29,0.13,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,31.0,33.0,36.0,244.0,27.75,27.36,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,32.13558325529559,238.0,-205.8644167447044
Rec Center,2025-11-24 18:00:00,2025-11-24,2,47,6:00:00 PM,18,31.0,0.14,36,0.16,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,33.0,24.0,35.0,250.0,26.75,27.208333333333332,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,34.499719465024405,238.0,-203.5002805349756
Rec Center,2025-11-24 17:30:00,2025-11-24,2,47,5:30:00 PM,17,33.0,0.15,38,0.17,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,24.0,23.0,27.0,247.0,25.75,26.956521739130434,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,23.680493933061385,222.5,-198.81950606693863
Rec Center,2025-11-24 17:00:00,2025-11-24,2,47,5:00:00 PM,17,24.0,0.11,28,0.13,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,23.0,27.0,27.0,266.0,26.25,27.09090909090909,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,25.80575053805573,222.5,-196.69424946194428
Rec Center,2025-11-24 19:00:00,2025-11-24,2,47,7:00:00 PM,19,28.0,0.13,34,0.15,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,26.0,31.0,28.0,232.0,28.5,27.307692307692307,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,22.353042556598965,218.0,-195.64695744340105
Rec Center,2025-11-24 16:00:00,2025-11-24,2,47,4:00:00 PM,16,27.0,0.12,32,0.15,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,29.0,26.0,24.0,230.0,28.5,27.3,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,27.71180654126124,219.0,-191.28819345873876
Rec Center,2025-11-25 16:00:00,2025-11-25,3,47,4:00:00 PM,16,28.0,0.13,31,0.14,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,24.0,21.0,27.0,197.0,22.25,21.65,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,27.836065656797647,218.5,-190.66393434320236
Rec Center,2025-11-26 18:30:00,2025-11-26,4,47,6:30:00 PM,18,4.0,0.02,4,0.02,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,5.0,21.0,27.0,189.0,19.75,17.44,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,12.490413262918244,202.5,-190.00958673708175
Rec Center,2025-11-24 19:30:00,2025-11-24,2,47,7:30:00 PM,19,19.0,0.09,28,0.13,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,28.0,26.0,16.0,215.0,29.5,27.333333333333332,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,28.074641387741735,218.0,-189.92535861225826
Rec Center,2025-11-25 20:30:00,2025-11-25,3,47,8:30:00 PM,20,3.0,0.01,3,0.01,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,3.0,17.0,4.0,195.0,19.5,22.82758620689655,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,5.541064921801735,195.0,-189.45893507819827
Rec Center,2025-11-24 16:30:00,2025-11-24,2,47,4:30:00 PM,16,23.0,0.1,29,0.13,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,27.0,29.0,23.0,263.0,27.5,27.285714285714285,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,32.85861529246485,219.0,-186.14138470753517
Rec Center,2025-11-25 16:30:00,2025-11-25,3,47,4:30:00 PM,16,34.0,0.15,36,0.16,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,28.0,24.0,23.0,251.0,23.75,21.952380952380953,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,32.806261931384405,218.5,-185.6937380686156
Rec Center,2025-11-25 11:00:00,2025-11-25,3,47,11:00:00 AM,11,28.0,0.13,31,0.14,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,25.0,28.0,40.0,182.0,24.5,19.1,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,28.675006887146946,213.5,-184.82499311285306
Rec Center,2025-11-25 20:00:00,2025-11-25,3,47,8:00:00 PM,20,3.0,0.01,8,0.04,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,17.0,31.0,4.0,214.0,25.25,23.535714285714285,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,10.260232138638226,195.0,-184.73976786136177
Rec Center,2025-11-24 21:30:00,2025-11-24,2,47,9:30:00 PM,21,4.0,0.02,4,0.02,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,3.0,4.0,3.0,195.0,7.5,24.774193548387096,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,5.7137071345574775,189.0,-183.28629286544253
Rec Center,2025-11-24 21:00:00,2025-11-24,2,47,9:00:00 PM,21,3.0,0.01,4,0.02,220,Cal Poly  > Rec Center,2025-06_to_2026-04,-30minExport-1Jun25-15Apr26.csv,2025-26,Fall,instruction,10,False,none,4.0,4.0,3.0,197.0,13.75,25.5,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,6.041606917782413,189.0,-182.95839308221758
