iter	Passed	Remaining
0	610	304669
1	1298	323223
2	2025	335498
3	2612	323916
4	3167	313565
5	3767	310218
6	4437	312522
7	5095	313390
8	5744	313421
9	6362	311748
10	7060	313856
11	7708	313495
12	8370	313580
13	9047	314081
14	9641	311740
15	10288	311222
16	10908	309922
17	11478	307366
18	12178	308303
19	12816	307585
20	13460	307016
21	14086	306054
22	14749	305894
23	15406	305565
24	16076	305449
25	16734	305079
26	17397	304784
27	18036	304039
28	18736	304313
29	19354	303222
30	20009	302724
31	20641	301878
32	21285	301223
33	21947	300812
34	22608	300372
35	23418	301832
36	24058	301054
37	24752	300940
38	25406	300312
39	26107	300232
40	26740	299365
41	27425	299066
42	28043	298041
43	28698	297421
44	29368	296946
45	30089	296973
46	30780	296674
47	31470	296343
48	32196	296339
49	32862	295764
50	33551	295384
51	34173	294421
52	34919	294506
53	35590	293953
54	36230	293135
55	36949	292957
56	37627	292440
57	38328	292092
58	39115	292375
59	39838	292147
60	40562	291920
61	41626	294073
62	42531	295018
63	43312	295067
64	44161	295544
65	45026	296082
66	45866	296421
67	46887	297876
68	47751	298276
69	48566	298337
70	49340	298126
71	50391	299552
72	51283	299971
73	53277	306705
74	54294	307667
75	55103	307418
76	55936	307285
77	56705	306790
78	57376	305766
79	58153	305304
80	58792	304122
81	59594	303787
82	60363	303271
83	61065	302419
84	61962	302522
85	62614	301422
86	63402	300978
87	64139	300288
88	64903	299723
89	65548	298611
90	66153	297325
91	66853	296482
92	67666	296132
93	68418	295508
94	69009	294196
95	69714	293382
96	70366	292346
97	71092	291624
98	71749	290620
99	72472	289889
100	73180	289099
101	73904	288371
102	74573	287433
103	75324	286813
104	76032	286026
105	76702	285100
106	77407	284311
107	77973	283014
108	78765	282543
109	79499	281861
110	80191	281031
111	80861	280126
